fs      200K    300K    400K    500K
25900   0.04947 0.10043 0.15735 0.22268
25950   0.04947 0.10046 0.15736 0.22268
26000   0.04948 0.10048 0.15738 0.22269
26050   0.04948 0.10051 0.15739 0.2227
26100   0.04949 0.10053 0.1574  0.2227
26150   0.04949 0.10055 0.15742 0.22271
26200   0.0495  0.10058 0.15743 0.22272
26250   0.0495  0.1006  0.15744 0.22273
26300   0.04951 0.10062 0.15746 0.22273
26350   0.04951 0.10065 0.15747 0.22274
26400   0.04952 0.10067 0.15748 0.22275
26450   0.04952 0.10069 0.1575  0.22276
26500   0.04953 0.10072 0.15751 0.22276
26550   0.04953 0.10074 0.15752 0.22277
26600   0.04954 0.10076 0.15753 0.22278
26650   0.04954 0.10079 0.15755 0.22279
26700   0.04955 0.10081 0.15756 0.2228
26750   0.04955 0.10083 0.15757 0.22281
26800   0.04956 0.10086 0.15759 0.22282
26850   0.04956 0.10088 0.1576  0.22282
26900   0.04957 0.1009  0.15761 0.22283
26950   0.04957 0.10093 0.15762 0.22284
27000   0.04958 0.10095 0.15764 0.22285
27050   0.04958 0.10097 0.15765 0.22286
27100   0.04959 0.101   0.15766 0.22287
27150   0.04959 0.10102 0.15767 0.22288
27200   0.0496  0.10105 0.15769 0.22289
27250   0.04961 0.10107 0.1577  0.2229
27300   0.04961 0.10109 0.15771 0.22291
27350   0.04962 0.10112 0.15772 0.22292
27400   0.04962 0.10114 0.15774 0.22294
27450   0.04963 0.10116 0.15775 0.22295
27500   0.04963 0.10119 0.15776 0.22296
27550   0.04964 0.10121 0.15777 0.22297
27600   0.04964 0.10123 0.15778 0.22298
27650   0.04965 0.10126 0.1578  0.22299
27700   0.04965 0.10128 0.15781 0.223
27750   0.04966 0.1013  0.15782 0.22302
27800   0.04966 0.10133 0.15783 0.22303
27850   0.04967 0.10135 0.15784 0.22304
27900   0.04968 0.10137 0.15786 0.22305
27950   0.04968 0.1014  0.15787 0.22307
28000   0.04969 0.10142 0.15788 0.22308
28050   0.04969 0.10144 0.15789 0.22309
28100   0.0497  0.10147 0.1579  0.2231
28150   0.0497  0.10149 0.15791 0.22312
28200   0.04971 0.10151 0.15793 0.22313
28250   0.04971 0.10154 0.15794 0.22314
28300   0.04972 0.10156 0.15795 0.22316
28350   0.04973 0.10158 0.15796 0.22317
28400   0.04973 0.10161 0.15797 0.22319
28450   0.04974 0.10163 0.15798 0.2232
28500   0.04974 0.10165 0.158   0.22322
28550   0.04975 0.10168 0.15801 0.22323
28600   0.04975 0.1017  0.15802 0.22324
28650   0.04976 0.10173 0.15803 0.22326
28700   0.04977 0.10175 0.15804 0.22327
28750   0.04977 0.10177 0.15805 0.22329
28800   0.04978 0.1018  0.15806 0.2233
28850   0.04978 0.10182 0.15807 0.22332
28900   0.04979 0.10184 0.15808 0.22334
28950   0.04979 0.10187 0.15809 0.22335
29000   0.0498  0.10189 0.15811 0.22337
29050   0.04981 0.10191 0.15812 0.22338
29100   0.04981 0.10194 0.15813 0.2234
29150   0.04982 0.10196 0.15814 0.22342
29200   0.04982 0.10198 0.15815 0.22343
29250   0.04983 0.10201 0.15816 0.22345
29300   0.04984 0.10203 0.15817 0.22347
29350   0.04984 0.10205 0.15818 0.22348
29400   0.04985 0.10208 0.15819 0.2235
29450   0.04985 0.1021  0.1582  0.22352
29500   0.04986 0.10212 0.15821 0.22354
29550   0.04987 0.10215 0.15822 0.22355
29600   0.04987 0.10217 0.15823 0.22357
29650   0.04988 0.10219 0.15824 0.22359
29700   0.04988 0.10222 0.15825 0.22361
29750   0.04989 0.10224 0.15826 0.22363
29800   0.0499  0.10226 0.15827 0.22364
29850   0.0499  0.10229 0.15828 0.22366
29900   0.04991 0.10231 0.15829 0.22368
29950   0.04991 0.10233 0.1583  0.2237
30000   0.04992 0.10236 0.15831 0.22372
30050   0.04993 0.10238 0.15832 0.22374
30100   0.04993 0.1024  0.15833 0.22376
30150   0.04994 0.10243 0.15834 0.22378
30200   0.04994 0.10245 0.15835 0.2238
